name,ring,quadrant,isNew,Descripción en la empresa,Puntos de contacto (separados por punto y coma),URL APRENDIZAJE,Libros (Separados por punto y coma),books-HTML,point-of-contact-HTML,point-of-contact-with-header-html,link-to-confluence-with-header,books-with-header,description
Java 8,Adopted,Languages & Frameworks,FALSE,"Estamos usando Java 8 en muchos proyectos, y versiones anteriores en otros.",Didier Tabares;Santiago Garcés;,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Back-End+JAVA+1.8+-+Desarrollo+de+competencias,,,Didier Tabares<BR/>Santiago Garcés<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Santiago Garcés<BR/>,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Back-End+JAVA+1.8+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,"Estamos usando Java 8 en muchos proyectos, y versiones anteriores en otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Santiago Garcés<BR/><BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Back-End+JAVA+1.8+-+Desarrollo+de+competencias' target='_top'>aquí</a>"
C#,Adopted,Languages & Frameworks,FALSE,"Estamos usando C# y varios lenguajes de .Net en proyectos como Deloitte, Bomgar, Alfa, entre otros.",Raúl Zuluaga;John Alzate;Alejandro Jimenez;David Camilo Torres;,,,,Raúl Zuluaga<BR/>John Alzate<BR/>Alejandro Jimenez<BR/>David Camilo Torres<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate<BR/>Alejandro Jimenez<BR/>David Camilo Torres<BR/>,,,"Estamos usando C# y varios lenguajes de .Net en proyectos como Deloitte, Bomgar, Alfa, entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate<BR/>Alejandro Jimenez<BR/>David Camilo Torres<BR/>"
Spring Framework,Adopted,Languages & Frameworks,FALSE,"Spring está siendo usado en proyectos como Avianca, Cadreon, GTL, Mutual, Seon, entre muchos otros. Se están usando módulos como Spring Boot, Batch, Security, Web, Data, entre otros.",Santiago Garcés;Daniel Valderrama;Andrés de León;Sebastián Villa,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Spring+-+Desarrollo+de+competencias,,,Santiago Garcés<BR/>Daniel Valderrama<BR/>Andrés de León<BR/>Sebastián Villa,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Santiago Garcés<BR/>Daniel Valderrama<BR/>Andrés de León<BR/>Sebastián Villa,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Spring+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,"Spring está siendo usado en proyectos como Avianca, Cadreon, GTL, Mutual, Seon, entre muchos otros. Se están usando módulos como Spring Boot, Batch, Security, Web, Data, entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Santiago Garcés<BR/>Daniel Valderrama<BR/>Andrés de León<BR/>Sebastián Villa<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Spring+-+Desarrollo+de+competencias' target='_top'>aquí</a>"
Hibernate,Adopted,Languages & Frameworks,FALSE,"Usamos Hibernate para muchos proyectos como ORM. Cadreon, Avianca, Seon son algunos buenos ejemplos.",Deibys Quintero,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Hibernate+-+Desarrollo+de+Competencias,,,Deibys Quintero;,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Deibys Quintero;,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Hibernate+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,"Usamos Hibernate para muchos proyectos como ORM. Cadreon, Avianca, Seon son algunos buenos ejemplos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Deibys Quintero;<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Hibernate+-+Desarrollo+de+Competencias' target='_top'>aquí</a>"
Entity Framework,Adopted,Languages & Frameworks,FALSE,Usamos Entity Framework como ORM para muchos proyectos .Net,Raúl Zuluaga;John Alzate,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Entity+Framework+-+Desarrollo+de+Competencias,,,Raúl Zuluaga<BR/>John Alzate,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Entity+Framework+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Usamos Entity Framework como ORM para muchos proyectos .Net<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Entity+Framework+-+Desarrollo+de+Competencias' target='_top'>aquí</a>
Angular JS 1,Adopted,Languages & Frameworks,FALSE,Angular JS es uno de los frameworks más populares que usamos en FrontEnd. Hay muchos proyectos en Angular 1 y Angular 2.,Victor Cataño;Santiago Garcés;Pedro Patron;John de la Pava,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+1++-+Desarrollo+de+Competencias,,,Victor Cataño<BR/>Santiago Garcés<BR/>Pedro Patron<BR/>John de la Pava,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño<BR/>Santiago Garcés<BR/>Pedro Patron<BR/>John de la Pava,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+1++-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Angular JS es uno de los frameworks más populares que usamos en FrontEnd. Hay muchos proyectos en Angular 1 y Angular 2.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño<BR/>Santiago Garcés<BR/>Pedro Patron<BR/>John de la Pava<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+1++-+Desarrollo+de+Competencias' target='_top'>aquí</a>
Ext JS,Adopted,Languages & Frameworks,FALSE,"En el pasado usamos Ext JS para varios proyectos, ahora se usa principalmente en proyectos que usan el framework interno Eureka.",,,,,,,,,"En el pasado usamos Ext JS para varios proyectos, ahora se usa principalmente en proyectos que usan el framework interno Eureka."
CSS Preprocessors (Less/Sass),Adopted,Languages & Frameworks,FALSE,El equipo de UX trabaja fuertemente con varios preprocessors CSS,David Franco;Luis David Carreño;Lina Cadavid,https://mercurio.psl.com.co:9443/confluence/display/SDCD/CSS3+-+Desarrollo+de+competencias,,,David Franco<BR/>Luis David Carreño<BR/>Lina Cadavid,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Franco<BR/>Luis David Carreño<BR/>Lina Cadavid,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/CSS3+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,El equipo de UX trabaja fuertemente con varios preprocessors CSS<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Franco<BR/>Luis David Carreño<BR/>Lina Cadavid<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/CSS3+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Bash,Adopted,Languages & Frameworks,TRUE,"Anteriormente Bash simplemente era un set de comandos del sistema operativo, sin embargo lo incluimos acá debido a que ya ha evolucionado mucho y se pueden crear programas elegantes en él.",David Vasquez,,,,David Vasquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vasquez,,,"Anteriormente Bash simplemente era un set de comandos del sistema operativo, sin embargo lo incluimos acá debido a que ya ha evolucionado mucho y se pueden crear programas elegantes en él.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vasquez"
Angular 2,Adopted,Languages & Frameworks,FALSE,Tomó un tiempo para que AngularJS 2 estuviera en un estado maduro pero lo estamos implementando ahora en varios proyectos de la empresa.,Pedro Patron,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+2+-+Desarrollo+de+Competencias,,,Pedro Patron,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Pedro Patron,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+2+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Tomó un tiempo para que AngularJS 2 estuviera en un estado maduro pero lo estamos implementando ahora en varios proyectos de la empresa.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Pedro Patron<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+2+-+Desarrollo+de+Competencias' target='_top'>aquí</a>
TypeScript,Adopted,Languages & Frameworks,FALSE,Typescript es usado en varios proyectos frontend en PSL,Darwin Ramos;Frederic Peña;Wbert Castro,https://mercurio.psl.com.co:9443/confluence/display/SDCD/TypeScript+-+Desarrollo+de+competencias,,,Darwin Ramos<BR/>Frederic Peña<BR/>Wbert Castro,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Darwin Ramos<BR/>Frederic Peña<BR/>Wbert Castro,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/TypeScript+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Typescript es usado en varios proyectos frontend en PSL<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Darwin Ramos<BR/>Frederic Peña<BR/>Wbert Castro<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/TypeScript+-+Desarrollo+de+competencias' target='_top'>aquí</a>
React JS,Trying,Languages & Frameworks,FALSE,Hemos usado React JS para varios proyectos como RMS.,Sergio Salazar,,,,Sergio Salazar,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Sergio Salazar,,,Hemos usado React JS para varios proyectos como RMS.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Sergio Salazar
Backbone,Trying,Languages & Frameworks,FALSE,Backbone ha sido usado en varios proyectos de FrontEnd.,David Camilo Torres;Victor Cataño;Daniel Martinez,https://mercurio.psl.com.co:9443/confluence/display/SDCD/BackBone+-+Desarrollo+de+competencias,,,David Camilo Torres<BR/>Victor Cataño<BR/>Daniel Martinez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Camilo Torres<BR/>Victor Cataño<BR/>Daniel Martinez,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/BackBone+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Backbone ha sido usado en varios proyectos de FrontEnd.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Camilo Torres<BR/>Victor Cataño<BR/>Daniel Martinez<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/BackBone+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Node JS and Express,Trying,Languages & Frameworks,FALSE,"Node JS lo hemos usado como microservicios, para procesar datos TCP en tiempo real, en algunos proyectos en conjunto con Express, o simplemente para usar/crear utilidades de despliegue y testing",Daniel Martinez;Sergio Salazar,,,,Daniel Martinez<BR/>Sergio Salazar,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Martinez<BR/>Sergio Salazar,,,"Node JS lo hemos usado como microservicios, para procesar datos TCP en tiempo real, en algunos proyectos en conjunto con Express, o simplemente para usar/crear utilidades de despliegue y testing<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Martinez<BR/>Sergio Salazar"
GoLang,Trying,Languages & Frameworks,FALSE,En algunos proyectos estamos implementando microservicios en GoLang ,Jackson Palacios;Miguel Eduardo Osorio,,,,Jackson Palacios<BR/>Miguel Eduardo Osorio,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Jackson Palacios<BR/>Miguel Eduardo Osorio,,,En algunos proyectos estamos implementando microservicios en GoLang <BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Jackson Palacios<BR/>Miguel Eduardo Osorio
Scala,Exploring,Languages & Frameworks,FALSE,Hemos implementado varios microservicios con Scala en varios proyectos,,,,,,,,,Hemos implementado varios microservicios con Scala en varios proyectos
Python 3,Exploring,Languages & Frameworks,TRUE,Estamos explorando Python para varias oportunidades relacionadas con Big Data.,Alejandro Calderón;Fabrizio Sgura;David Vásquez;Juan Sebastian Zapata,,,,Alejandro Calderón<BR/>Fabrizio Sgura<BR/>David Vásquez<BR/>Juan Sebastian Zapata,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Alejandro Calderón<BR/>Fabrizio Sgura<BR/>David Vásquez<BR/>Juan Sebastian Zapata,,,Estamos explorando Python para varias oportunidades relacionadas con Big Data.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Alejandro Calderón<BR/>Fabrizio Sgura<BR/>David Vásquez<BR/>Juan Sebastian Zapata
Angular 4,Exploring,Languages & Frameworks,TRUE,"Angular 4 introduce algunos cambios menores a Angular JS 2, y es probable que estemos migrando varios proyectos a esta versión.",,,,,,,,,"Angular 4 introduce algunos cambios menores a Angular JS 2, y es probable que estemos migrando varios proyectos a esta versión."
BotFramework,Exploring,Languages & Frameworks,TRUE,Estamos implementando algunos bots como utilidades internas para conectar el conocimiento y como interfaces para JIRA.,Julian Vanegas;Sebastian Velez,,,,Julian Vanegas<BR/>Sebastian Velez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Julian Vanegas<BR/>Sebastian Velez,,,Estamos implementando algunos bots como utilidades internas para conectar el conocimiento y como interfaces para JIRA.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Julian Vanegas<BR/>Sebastian Velez
Continuous Integration,Adopted,Techniques & Practices,FALSE,"Es una práctica generalizada en PSL. Implementamos CI con Bamboo, Jenkins, Travis CI, TeamCity, TFS, entre otros servidores. Es un tema común en charlas a la comunidad.",Camilo Velez,,,,Camilo Velez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Camilo Velez,,,"Es una práctica generalizada en PSL. Implementamos CI con Bamboo, Jenkins, Travis CI, TeamCity, TFS, entre otros servidores. Es un tema común en charlas a la comunidad.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Camilo Velez"
Test Driven development,Adopted,Techniques & Practices,FALSE,En PSL aconsejamos utilizar TDD para los desarrollos que realizamos. Realizamos muchas actividades para promoverlo y entenderlo en la empresa.,Didier Tabares;Danilo Castro;,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias,,,Didier Tabares<BR/>Danilo Castro<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Danilo Castro<BR/>,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,En PSL aconsejamos utilizar TDD para los desarrollos que realizamos. Realizamos muchas actividades para promoverlo y entenderlo en la empresa.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Danilo Castro<BR/><BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Refactoring & Clean Code,Adopted,Techniques & Practices,FALSE,"Creemos en aplicar refactoring constantemente, paso a paso y apoyándonos en la automatización de pruebas. Esta práctica está apoyada en escribir código limpio y en herramientas automáticas (tipo sonarqube) para verificar que nuestro código esté en un estado óptimo.",Danilo Castro,,Clean Code A Handbook of Agile Software Craftmanship,Clean Code A Handbook of Agile Software Craftmanship,Danilo Castro,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Danilo Castro,,<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Clean Code A Handbook of Agile Software Craftmanship,"Creemos en aplicar refactoring constantemente, paso a paso y apoyándonos en la automatización de pruebas. Esta práctica está apoyada en escribir código limpio y en herramientas automáticas (tipo sonarqube) para verificar que nuestro código esté en un estado óptimo.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Danilo Castro<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Clean Code A Handbook of Agile Software Craftmanship"
Domain Driven Design,Adopted,Techniques & Practices,FALSE,"Implementamos Domain Driven Design (parcial o totalmente) en muchos proyectos en PSL. Trabajamos con Bounded Contexts, Agregados, entidades, objetos de valor, repositorios, entre otros.",Didier Tabares,,Domain-Driven Design;Implementing Domain-Driven Design,Domain-Driven Design<BR/>Implementing Domain-Driven Design,Didier Tabares,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares,,<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Domain-Driven Design<BR/>Implementing Domain-Driven Design,"Implementamos Domain Driven Design (parcial o totalmente) en muchos proyectos en PSL. Trabajamos con Bounded Contexts, Agregados, entidades, objetos de valor, repositorios, entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Domain-Driven Design<BR/>Implementing Domain-Driven Design"
UI Automated Testing,Adopted,Techniques & Practices,FALSE,"En muchos proyectos estamos implementando UI testing con herramientas como Selenium, Protractor, Sahi, entre otros.",German Potes;Alejandro Perdomo;Marlon Aguilar,https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=77728483,,,German Potes<BR/>Alejandro Perdomo<BR/>Marlon Aguilar,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>German Potes<BR/>Alejandro Perdomo<BR/>Marlon Aguilar,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=77728483' target='_top'>aquí</a>,,"En muchos proyectos estamos implementando UI testing con herramientas como Selenium, Protractor, Sahi, entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>German Potes<BR/>Alejandro Perdomo<BR/>Marlon Aguilar<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=77728483' target='_top'>aquí</a>"
API Automated Testing,Adopted,Techniques & Practices,FALSE,Estamos implementando API testing con Postman o simplemente utilizando librerias REST en varios lenguajes de programación.,Juan Henao;Alejandro Perdomo;Marlon Aguilar,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Service+Testing+-+Desarrollo+de+competencias,,,Juan Henao<BR/>Alejandro Perdomo<BR/>Marlon Aguilar,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Juan Henao<BR/>Alejandro Perdomo<BR/>Marlon Aguilar,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Service+Testing+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Estamos implementando API testing con Postman o simplemente utilizando librerias REST en varios lenguajes de programación.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Juan Henao<BR/>Alejandro Perdomo<BR/>Marlon Aguilar<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Service+Testing+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Impact Mapping / User Story Mapping,Adopted,Techniques & Practices,FALSE,"Las técnicas de Impact Mapping y User Story Mapping se trabajan con los clientes para encontrar prioridades, enfocarnos en el usuario, y definir a un alto nivel el roadmap de un proyecto.",Laura Vanegas,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Impact+Mapping,Impact Mapping - Gojko Adzic;,Impact Mapping - Gojko Adzic<BR/>,Laura Vanegas,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Laura Vanegas,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Impact+Mapping' target='_top'>aquí</a>,<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Impact Mapping - Gojko Adzic<BR/>,"Las técnicas de Impact Mapping y User Story Mapping se trabajan con los clientes para encontrar prioridades, enfocarnos en el usuario, y definir a un alto nivel el roadmap de un proyecto.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Laura Vanegas<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Impact+Mapping' target='_top'>aquí</a><br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Impact Mapping - Gojko Adzic<BR/>"
Unit Testing,Adopted,Techniques & Practices,FALSE,En todos los proyectos que construimos desde cero (hay algunas excepciones legacy) implementamos unit testing.,Catalina Soto;Juan Vicente;Mauricio Lopez,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias,,,Catalina Soto<BR/>Juan Vicente<BR/>Mauricio Lopez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Catalina Soto<BR/>Juan Vicente<BR/>Mauricio Lopez,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,En todos los proyectos que construimos desde cero (hay algunas excepciones legacy) implementamos unit testing.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Catalina Soto<BR/>Juan Vicente<BR/>Mauricio Lopez<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Responsive and Adaptative Design,Adopted,Techniques & Practices,FALSE,Nuestro equipo de UX implementa las experiencias de usuario siguiendo diseños responsive o adaptativos.,Luis David Carreño;David Franco,,Responsive Web Design with HTML5 and CSS3 - Second Edition . Packt Publishing. ,Responsive Web Design with HTML5 and CSS3 - Second Edition . Packt Publishing. ,Luis David Carreño<BR/>David Franco,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Luis David Carreño<BR/>David Franco,,<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Responsive Web Design with HTML5 and CSS3 - Second Edition . Packt Publishing. ,Nuestro equipo de UX implementa las experiencias de usuario siguiendo diseños responsive o adaptativos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Luis David Carreño<BR/>David Franco<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Responsive Web Design with HTML5 and CSS3 - Second Edition . Packt Publishing. 
