name,ring,quadrant,isNew,Descripción en la empresa,Puntos de contacto (separados por punto y coma),URL APRENDIZAJE,Libros (Separados por punto y coma),books-HTML,point-of-contact-HTML,point-of-contact-with-header-html,link-to-confluence-with-header,books-with-header,description
Exploratory Testing,Adopted,Techniques & Practices,FALSE,Complementamos nuestro testing con sesiones exploratorias que buscan aprender del sistema y encontrar nuevos casos de prueba para automatizar.,Marlon Aguilar;Karolina Kaufman,https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=80646714,Explore It - Reduce risk and increase confidence with Exploratory Testing,Explore It - Reduce risk and increase confidence with Exploratory Testing,Marlon Aguilar<BR/>Karolina Kaufman,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Marlon Aguilar<BR/>Karolina Kaufman,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=80646714' target='_top'>aquí</a>,<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Explore It - Reduce risk and increase confidence with Exploratory Testing,Complementamos nuestro testing con sesiones exploratorias que buscan aprender del sistema y encontrar nuevos casos de prueba para automatizar.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Marlon Aguilar<BR/>Karolina Kaufman<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=80646714' target='_top'>aquí</a><br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Explore It - Reduce risk and increase confidence with Exploratory Testing
UX and User Centered Design,Trying,Techniques & Practices,FALSE,Estamos trabajando con Diseño centrado en usuarios como un marco de trabajo que busca que nuestro software realmente agregue valor a los usuarios y lo haga de una manera intuitiva y eficiente.,Luis David Carreño;David Franco,https://mercurio.psl.com.co:9443/confluence/display/SDCD/User+Centered+Design,,,Luis David Carreño<BR/>David Franco,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Luis David Carreño<BR/>David Franco,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/User+Centered+Design' target='_top'>aquí</a>,,Estamos trabajando con Diseño centrado en usuarios como un marco de trabajo que busca que nuestro software realmente agregue valor a los usuarios y lo haga de una manera intuitiva y eficiente.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Luis David Carreño<BR/>David Franco<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/User+Centered+Design' target='_top'>aquí</a>
Pair Programming,Trying,Techniques & Practices,FALSE,"La programación por pares la estamos usando por distintos motivos: Como entrenamiento de personas nuevas dentro de un equipo, como mecanismo para polinizar conocimiento, y como forma de incrementar nuestro rendimiento y aprender del otro. Usualmente surge de forma espontánea, sin embargo hay varias iniciativas formales en proyectos para usarla regularmente.",,,,,,,,,"La programación por pares la estamos usando por distintos motivos: Como entrenamiento de personas nuevas dentro de un equipo, como mecanismo para polinizar conocimiento, y como forma de incrementar nuestro rendimiento y aprender del otro. Usualmente surge de forma espontánea, sin embargo hay varias iniciativas formales en proyectos para usarla regularmente."
Microservices architectures,Trying,Techniques & Practices,FALSE,"Hemos implementado microservicios para varios proyectos. Hemos aprendido bastante y aunque vemos muchos beneficios de esta aproximación, es  importante entender cuándo y cómo implementar microservicios pues viene con unos retos considerables asociados.",Didier Tabares,,,,Didier Tabares,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares,,,"Hemos implementado microservicios para varios proyectos. Hemos aprendido bastante y aunque vemos muchos beneficios de esta aproximación, es  importante entender cuándo y cómo implementar microservicios pues viene con unos retos considerables asociados.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares"
Service Discovery,Trying,Techniques & Practices,FALSE,"Implementar Service Discovery es muy útil por dos motivos: Primero, para realizar despliegues en arquitecturas de microservicios. Segundo, en algunos casos se pueden implementar balanceadores de carga sobre el mismo servicio de SD.",David Vásquez,,,,David Vásquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez,,,"Implementar Service Discovery es muy útil por dos motivos: Primero, para realizar despliegues en arquitecturas de microservicios. Segundo, en algunos casos se pueden implementar balanceadores de carga sobre el mismo servicio de SD.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez"
Containerization,Trying,Techniques & Practices,FALSE,"Estamos implementando contenedores para muchos proyectos. En algunos casos, como Avianca, para efectos de pruebas. En otros, como Xtiva o Mutual Ser, incluso hasta producción y despliegue de aplicaciones (o microservicios). Generalmente orquestamos los Microservicios con herramientas como Kubernetes",Fabrizio Sgura,,,,Fabrizio Sgura,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Fabrizio Sgura,,,"Estamos implementando contenedores para muchos proyectos. En algunos casos, como Avianca, para efectos de pruebas. En otros, como Xtiva o Mutual Ser, incluso hasta producción y despliegue de aplicaciones (o microservicios). Generalmente orquestamos los Microservicios con herramientas como Kubernetes<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Fabrizio Sgura"
Infrastructure as Code,Trying,Techniques & Practices,FALSE,"Tratar la infraestructura como código es una tendencia de la industria y nosotros lo estamos utilizando a través, por ejemplo, de implementar Cloud Formation para varios proyectos en AWS.",David Vásquez;Fabrizio Sgura,,,,David Vásquez<BR/>Fabrizio Sgura,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Fabrizio Sgura,,,"Tratar la infraestructura como código es una tendencia de la industria y nosotros lo estamos utilizando a través, por ejemplo, de implementar Cloud Formation para varios proyectos en AWS.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Fabrizio Sgura"
Continuous Delivery,Trying,Techniques & Practices,FALSE,"Hemos implementado CD para varios proyectos y estamos en camino para otros. El solo camino hacia Continuous Delivery trae muchas ventajas pues te obliga a pensar en automatización de pruebas, de despliegues, a volver controlados una serie de procesos que usualmente no lo son.",Esteban Vasquez;FabrizioSgura,,"Continuos Delivery de Jezz Humble, David Farley","Continuos Delivery de Jezz Humble, David Farley",Esteban Vasquez<BR/>FabrizioSgura,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Vasquez<BR/>FabrizioSgura,,"<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Continuos Delivery de Jezz Humble, David Farley","Hemos implementado CD para varios proyectos y estamos en camino para otros. El solo camino hacia Continuous Delivery trae muchas ventajas pues te obliga a pensar en automatización de pruebas, de despliegues, a volver controlados una serie de procesos que usualmente no lo son.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Vasquez<BR/>FabrizioSgura<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Continuos Delivery de Jezz Humble, David Farley"
BDD,Trying,Techniques & Practices,FALSE,"Estamos corriendo varios proyectos con BDD de punta a punta. Esto incluye escribir especificaciones, codificar de manera adecuada, probar basado en estas codificaciones, y manejar un lenguaje homogéneo dentro de todo el equipo. Lo hacemos apoyados de herramientas como Cucumber o Jasmine.",Alejandro Perdomo;Tatiana Tamayo;,,,,Alejandro Perdomo<BR/>Tatiana Tamayo<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Alejandro Perdomo<BR/>Tatiana Tamayo<BR/>,,,"Estamos corriendo varios proyectos con BDD de punta a punta. Esto incluye escribir especificaciones, codificar de manera adecuada, probar basado en estas codificaciones, y manejar un lenguaje homogéneo dentro de todo el equipo. Lo hacemos apoyados de herramientas como Cucumber o Jasmine.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Alejandro Perdomo<BR/>Tatiana Tamayo<BR/>"
ETLs,Trying,Techniques & Practices,FALSE,"Estamos implementando ETLs en varios proyectos usando tecnologías como Spark, Spring Batch, entre otros",Andrés de León;Hogly Rubio,,,,Andrés de León<BR/>Hogly Rubio,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andrés de León<BR/>Hogly Rubio,,,"Estamos implementando ETLs en varios proyectos usando tecnologías como Spark, Spring Batch, entre otros<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andrés de León<BR/>Hogly Rubio"
Polyglot Persistence,Trying,Techniques & Practices,FALSE,"Estamos combinando varios motores de persistencia en proyectos de la empresa. Usando motores relacionales, Elastic Search, Cassandra o Mongo DB, o varios de ellos en patrones como CQRS.",Carlos Tovar,,,,Carlos Tovar,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Carlos Tovar,,,"Estamos combinando varios motores de persistencia en proyectos de la empresa. Usando motores relacionales, Elastic Search, Cassandra o Mongo DB, o varios de ellos en patrones como CQRS.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Carlos Tovar"
Event Driven Architectures,Trying,Techniques & Practices,FALSE,Estamos utilizando arquitecturas orientadas a eventos en varios proyectos. Desde Event Notifications hasta Event Sourcing. Xtiva es un excelente ejemplo del tema.,Didier Tabares,,,,Didier Tabares,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares,,,Estamos utilizando arquitecturas orientadas a eventos en varios proyectos. Desde Event Notifications hasta Event Sourcing. Xtiva es un excelente ejemplo del tema.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares
Fast Data Architectures,Trying,Techniques & Practices,TRUE,"En varios proyectos estamos trabajando con fast data architectures, enfocados especialmente en streaming de eventos.",Fabrizio Sgura,,,,Fabrizio Sgura,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Fabrizio Sgura,,,"En varios proyectos estamos trabajando con fast data architectures, enfocados especialmente en streaming de eventos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Fabrizio Sgura"
Security Testing,Exploring,Techniques & Practices,FALSE,"En varios proyectos realizamos Penetration testing y actividades de white hat hacking, sin embargo estamos explorando el uso de herramientas automáticas e integradas con servidores de integración continua para pruebas automáticas de seguridad.",Luis Felipe Acosta,,,,Luis Felipe Acosta,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Luis Felipe Acosta,,,"En varios proyectos realizamos Penetration testing y actividades de white hat hacking, sin embargo estamos explorando el uso de herramientas automáticas e integradas con servidores de integración continua para pruebas automáticas de seguridad.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Luis Felipe Acosta"
Feature Toggles,Exploring,Techniques & Practices,FALSE,Estamos explorando implementar feature toggles en un esquema de trunk-based development.,,,,,,,,,Estamos explorando implementar feature toggles en un esquema de trunk-based development.
Serverless compute,Exploring,Techniques & Practices,TRUE,"Existen algunas utilidades o aplicaciones que estamos realizando con Amazon Lambda. Realmente no es una arquitectura completamente Serverless, pero si utilizamos el esquema de function-as-a-service para algunos temas en Bomgar y en Xtiva.",Raúl Zuluaga;David Vasquez,,,,Raúl Zuluaga<BR/>David Vasquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>David Vasquez,,,"Existen algunas utilidades o aplicaciones que estamos realizando con Amazon Lambda. Realmente no es una arquitectura completamente Serverless, pero si utilizamos el esquema de function-as-a-service para algunos temas en Bomgar y en Xtiva.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>David Vasquez"
Usability Testing,Exploring,Techniques & Practices,FALSE,Estamos adquiriendo conocimiento y aplicando conceptos de pruebas de usabilidad,Luis David Carreño;Juan Fernando Moreno,,,,,,,,
"AWS infrastructure (EC2, S3, VPC, RDS, etc...)",Adopted,Platform,FALSE,"Tenemos mucha experiencia con EC2, S3, SQS, SNS, RDS, entre otros servicios AWS. Existen múltiples proyectos desplegados enteramente sobre Amazon.",David Vásquez;Esteban Vásquez,,,,David Vásquez<BR/>Esteban Vásquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Esteban Vásquez,,,"Tenemos mucha experiencia con EC2, S3, SQS, SNS, RDS, entre otros servicios AWS. Existen múltiples proyectos desplegados enteramente sobre Amazon.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Esteban Vásquez"
"AWS development tools (CloudWatch, Elastic Beanstalk, entre otros)",Adopted,Platform,FALSE,"A nivel de aplicación estamos implementando varios servicios de AWS, como CloudWatch (logging), Elastic Beans Talk (PaaS), entre otros.",David Vásquez;Esteban Vásquez,,,,David Vásquez<BR/>Esteban Vásquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Esteban Vásquez,,,"A nivel de aplicación estamos implementando varios servicios de AWS, como CloudWatch (logging), Elastic Beans Talk (PaaS), entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Esteban Vásquez"
Jenkins,Adopted,Platform,FALSE,"Estamos usando Jenkins en varios proyectos, tanto la versión 1 como la 2, para realizar integración continua",Camilo Velez;Jhonnatan Pulgarin;Andrés Eusse (versión 2),,,,Camilo Velez<BR/>Jhonnatan Pulgarin<BR/>Andrés Eusse (versión 2),<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Camilo Velez<BR/>Jhonnatan Pulgarin<BR/>Andrés Eusse (versión 2),,,"Estamos usando Jenkins en varios proyectos, tanto la versión 1 como la 2, para realizar integración continua<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Camilo Velez<BR/>Jhonnatan Pulgarin<BR/>Andrés Eusse (versión 2)"
Bamboo,Adopted,Platform,FALSE,Usamos Bamboo en PSL como CI server por defecto. Se integra con otros productos de la suite de atlassian.,Camilo Velez;Jhonnatan Pulgarin,,,,Camilo Velez<BR/>Jhonnatan Pulgarin,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Camilo Velez<BR/>Jhonnatan Pulgarin,,,Usamos Bamboo en PSL como CI server por defecto. Se integra con otros productos de la suite de atlassian.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Camilo Velez<BR/>Jhonnatan Pulgarin
Sonarqube,Adopted,Platform,FALSE,"SonarQube está implementado en varios proyectos para analizar cobertura de testing, niveles de deuda técnica y manejo de buenas prácticas de desarrollo",Jonathan Pulgarín,,,,Jonathan Pulgarín,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Jonathan Pulgarín,,,"SonarQube está implementado en varios proyectos para analizar cobertura de testing, niveles de deuda técnica y manejo de buenas prácticas de desarrollo<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Jonathan Pulgarín"
Gitlab,Adopted,Platform,FALSE,"Tenemos un servidor de GitLab en la empresa que usamos para varios proyectos. Desde aquí controlamos la estrategia de branching, merging, la integración con herramientas de CI, y también lo usamos como herramienta para revisiones de código.",,https://www.atlassian.com/git,,,,,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://www.atlassian.com/git' target='_top'>aquí</a>,,"Tenemos un servidor de GitLab en la empresa que usamos para varios proyectos. Desde aquí controlamos la estrategia de branching, merging, la integración con herramientas de CI, y también lo usamos como herramienta para revisiones de código.<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://www.atlassian.com/git' target='_top'>aquí</a>"
Elastic Search,Adopted,Platform,FALSE,Elastic Search es usado en varios proyectos bien sea como mecanismo de persistencia principal o como un indexador con fines de búsqueda.,Giovanni Tovar;Esteban Vásquez,,,,Giovanni Tovar<BR/>Esteban Vásquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Giovanni Tovar<BR/>Esteban Vásquez,,,Elastic Search es usado en varios proyectos bien sea como mecanismo de persistencia principal o como un indexador con fines de búsqueda.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Giovanni Tovar<BR/>Esteban Vásquez
Cassandra,Trying,Platform,FALSE,Estamos usando Cassandra como Event Store en xtiva,Andrés de León;Didier Tabares,,,,Andrés de León<BR/>Didier Tabares,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andrés de León<BR/>Didier Tabares,,,Estamos usando Cassandra como Event Store en xtiva<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andrés de León<BR/>Didier Tabares
MongoDB,Trying,Platform,FALSE,Hemos usado MongoDB en varios proyectos. Seon es un excelente ejemplo de uso de índices geo-espaciales y manejo de bases de datos de varios Terabytes,Wilson Mendez;Gustavo Mendoza,https://mercurio.psl.com.co:9443/confluence/display/SDCD/MongoDB++-+Desarrollo+de+Competencias,,,Wilson Mendez<BR/>Gustavo Mendoza,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Wilson Mendez<BR/>Gustavo Mendoza,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/MongoDB++-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Hemos usado MongoDB en varios proyectos. Seon es un excelente ejemplo de uso de índices geo-espaciales y manejo de bases de datos de varios Terabytes<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Wilson Mendez<BR/>Gustavo Mendoza<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/MongoDB++-+Desarrollo+de+Competencias' target='_top'>aquí</a>
Azure,Trying,Platform,FALSE,Tenemos experiencia con servicios de Azure para aplicaciones en .Net.,,,,,,,,,Tenemos experiencia con servicios de Azure para aplicaciones en .Net.
Docker,Trying,Platform,FALSE,"Usamos Docker en varios proyectos. En algunos solo para crear containers útiles para testing, en otros hasta producción. ",Esteban Vasquez;FabrizioSgura,,Docker cookbook;Using docker,Docker cookbook<BR/>Using docker,Esteban Vasquez<BR/>FabrizioSgura,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Vasquez<BR/>FabrizioSgura,,<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Docker cookbook<BR/>Using docker,"Usamos Docker en varios proyectos. En algunos solo para crear containers útiles para testing, en otros hasta producción. <BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Vasquez<BR/>FabrizioSgura<br/><br/><b>Algunos libros de nuestra librería kindle relacionados:</b><BR/>Docker cookbook<BR/>Using docker"
Kafka,Trying,Platform,FALSE,"Estamos usando Kafka en proyectos como HERE, Xtiva y próximamente Seón",Carlos Tovar;Didier Tabares;Hogly Rubio;David Vásquez;Alejandro Calderón;Fabrizio Sgura,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Kafka+-+Desarrollo+de+Competencias,,,Carlos Tovar<BR/>Didier Tabares<BR/>Hogly Rubio<BR/>David Vásquez<BR/>Alejandro Calderón<BR/>Fabrizio Sgura,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Carlos Tovar<BR/>Didier Tabares<BR/>Hogly Rubio<BR/>David Vásquez<BR/>Alejandro Calderón<BR/>Fabrizio Sgura,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Kafka+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,"Estamos usando Kafka en proyectos como HERE, Xtiva y próximamente Seón<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Carlos Tovar<BR/>Didier Tabares<BR/>Hogly Rubio<BR/>David Vásquez<BR/>Alejandro Calderón<BR/>Fabrizio Sgura<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Kafka+-+Desarrollo+de+Competencias' target='_top'>aquí</a>"
Akka,Trying,Platform,FALSE,Usamos Akka y módulos como reactive Kafka en Xtiva.,Didier Tabares;Andrés de León,,,,Didier Tabares<BR/>Andrés de León,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Andrés de León,,,Usamos Akka y módulos como reactive Kafka en Xtiva.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Andrés de León
Akka .NET,Trying,Platform,TRUE,En SEON usamos Akka .NET corriendo sobre Linux,,,,,,,,,En SEON usamos Akka .NET corriendo sobre Linux
CloudFormation,Trying,Platform,FALSE,Usamos Cloud Formation para orquestar despliegues en AWS para varios proyectos.,David Vásquez;Alejandro Calderón,,,,David Vásquez<BR/>Alejandro Calderón,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Alejandro Calderón,,,Usamos Cloud Formation para orquestar despliegues en AWS para varios proyectos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Alejandro Calderón
Electron JS,Trying,Platform,FALSE,Usamos ElectronJS como una manera de crear aplicaciones de escritorio usando HTML5.,,,,,,,,,Usamos ElectronJS como una manera de crear aplicaciones de escritorio usando HTML5.
Phonegap/Cordova,Trying,Platform,FALSE,Hemos usado Cordova como una plataforma híbrida de desarrollo de aplicaciones móviles,David Camilo Torres,,,,David Camilo Torres,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Camilo Torres,,,Hemos usado Cordova como una plataforma híbrida de desarrollo de aplicaciones móviles<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Camilo Torres
Appcelerator,Trying,Platform,FALSE,Hemos usado Appcelerator como una plataforma híbrida de desarrollo de aplicaciones móviles,Victor Cataño;Jonathan Hernandez,,,,Victor Cataño<BR/>Jonathan Hernandez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño<BR/>Jonathan Hernandez,,,Hemos usado Appcelerator como una plataforma híbrida de desarrollo de aplicaciones móviles<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño<BR/>Jonathan Hernandez
Ionic,Trying,Platform,FALSE,Hemos usado Ionic para implementar aplicaciones móviles simples,Frederic Peña;Santiago Garces,,,,Frederic Peña<BR/>Santiago Garces,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Frederic Peña<BR/>Santiago Garces,,,Hemos usado Ionic para implementar aplicaciones móviles simples<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Frederic Peña<BR/>Santiago Garces
.Net Core,Trying,Platform,FALSE,Estamos usando .Net core 1.0 para algunos proyectos,John Alzate,,,,John Alzate,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>John Alzate,,,Estamos usando .Net core 1.0 para algunos proyectos<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>John Alzate
Consul,Trying,Platform,FALSE,Consul lo hemos usado como herramienta de Service Discovery,David Vásquez,,,,David Vásquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez,,,Consul lo hemos usado como herramienta de Service Discovery<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez
