name,ring,quadrant,isNew,Descripción en la empresa,Puntos de contacto (separados por punto y coma),URL APRENDIZAJE,Libros (Separados por punto y coma),books-HTML,point-of-contact-HTML,point-of-contact-with-header-html,link-to-confluence-with-header,books-with-header,description
"HAProxy, Nginx",Trying,Platform,FALSE,Herramientas de Reverse Proxy como HAProxy o Nginx son usadas en varios proyectos para soportar/optimizar despliegues de aplicaciones web o incluso como Service Discovery (Xtiva),David Vásquez;Fabrizio Sgura;Alejandro Calderón,,,,,,,,Herramientas de Reverse Proxy como HAProxy o Nginx son usadas en varios proyectos para soportar/optimizar despliegues de aplicaciones web o incluso como Service Discovery (Xtiva)
"Discovery Servers (Consul, HAProxy)",Trying,Platform,FALSE,Estamos usando o implementando varios discovery servers para proyectos con microservicios.,David Vásquez,,,,David Vásquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez,,,Estamos usando o implementando varios discovery servers para proyectos con microservicios.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez
GoCD,Trying,Platform,TRUE,"En HERE estamos implementando GoCD y evaluándolo vs Jenkins2 pipelines. GoCD es una herramienta enfocada en Continuous Delivery, que permite observar de una manera muy intuitiva los flujos de tu pipeline y los release candidatos para producción.",Eric Berchem;Alejandro Vallecilla;Hernán López,,,,Eric Berchem<BR/>Alejandro Vallecilla<BR/>Hernán López,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Eric Berchem<BR/>Alejandro Vallecilla<BR/>Hernán López,,,"En HERE estamos implementando GoCD y evaluándolo vs Jenkins2 pipelines. GoCD es una herramienta enfocada en Continuous Delivery, que permite observar de una manera muy intuitiva los flujos de tu pipeline y los release candidatos para producción.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Eric Berchem<BR/>Alejandro Vallecilla<BR/>Hernán López"
Android,Trying,Platform,FALSE,Hemos implementado aplicaciones nativas Android para muchos clientes,,,,,,,,,Hemos implementado aplicaciones nativas Android para muchos clientes
Apache Spark,Trying,Platform,TRUE,"Estamos utilizando Spark en diferentes proyectos: En Xtiva se usa superficialmente, en HERE se usa en varios temas, tanto para Batching como para Streaming.",Yosel del Valle,,,,Yosel del Valle,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Yosel del Valle,,,"Estamos utilizando Spark en diferentes proyectos: En Xtiva se usa superficialmente, en HERE se usa en varios temas, tanto para Batching como para Streaming.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Yosel del Valle"
Apache Flink,Trying,Platform,TRUE,"En HERE tenemos un proyecto que involucra procesar 1 billón de registros por segundo. Para el procesamiento, estamos implementando una prueba de concepto con Apache Flink.",Esteban Hernandez,,Introduction to Apache Flink: Stream Processing for Real Time and Beyond,,Esteban Hernandez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Hernandez,,,"En HERE tenemos un proyecto que involucra procesar 1 billón de registros por segundo. Para el procesamiento, estamos implementando una prueba de concepto con Apache Flink.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Hernandez"
Xamarin,Exploring,Platform,FALSE,Estamos interesados en implementar aplicaciones móviles con Xamarin,,,,,,,,,Estamos interesados en implementar aplicaciones móviles con Xamarin
Auth0,Exploring,Platform,FALSE,Estaremos implementando Auth0 próximamente en Xtiva. Es una tecnología con la que estamos atentos para otros proyectos e iniciativas.,,,,,,,,,Estaremos implementando Auth0 próximamente en Xtiva. Es una tecnología con la que estamos atentos para otros proyectos e iniciativas.
AWS Lambda,Exploring,Platform,FALSE,Lambda está siendo usado en Xtiva y se está explorando para varios proyectos más.,,,,,,,,,Lambda está siendo usado en Xtiva y se está explorando para varios proyectos más.
IBM Watson,Exploring,Platform,FALSE,Estamos explorando IBM Watson y en particular BlueMix para varios esfuerzos internos.,,,,,,,,,Estamos explorando IBM Watson y en particular BlueMix para varios esfuerzos internos.
Maven / Gradle,Adopted,Tools and Libraries,FALSE,"Todos nuestros proectos Java corren con Maven o Gradle para manejar dependencias, coordinar el ciclo de vida de los builds, y ejecutar tests.",Andres de Leon;Eric Berchem,,,,Andres de Leon<BR/>Eric Berchem,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andres de Leon<BR/>Eric Berchem,,,"Todos nuestros proectos Java corren con Maven o Gradle para manejar dependencias, coordinar el ciclo de vida de los builds, y ejecutar tests.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andres de Leon<BR/>Eric Berchem"
Mocking Tools,Adopted,Tools and Libraries,FALSE,"Usamos Frameworks de mocking como Mockito, EasyMock, RhinoMocks entre muchos otros para nuestras pruebas automáticas",Didier Tabares,,,,Didier Tabares,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares,,,"Usamos Frameworks de mocking como Mockito, EasyMock, RhinoMocks entre muchos otros para nuestras pruebas automáticas<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares"
JUnit / TestNG,Adopted,Tools and Libraries,FALSE,Para aplicaciones Java usamos JUnit o TestNG como test runner.,Hernan Diaz,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias,,,Hernan Diaz,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Hernan Diaz,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Para aplicaciones Java usamos JUnit o TestNG como test runner.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Hernan Diaz<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>
nUnit,Adopted,Tools and Libraries,FALSE,En nuestros proyectos en plataformas .Net implementamos pruebas automáticas comúnmente en herramientas como nUnit,Raul Zuluaga,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias,,,Raul Zuluaga,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raul Zuluaga,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,En nuestros proyectos en plataformas .Net implementamos pruebas automáticas comúnmente en herramientas como nUnit<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raul Zuluaga<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Karma,Adopted,Tools and Libraries,FALSE,Karma es el test runner por defecto que tenemos en Javascript,Alvaro Castellados;Yeliyza Coromoto,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias,,,Alvaro Castellados<BR/>Yeliyza Coromoto,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Alvaro Castellados<BR/>Yeliyza Coromoto,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Karma es el test runner por defecto que tenemos en Javascript<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Alvaro Castellados<BR/>Yeliyza Coromoto<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Fitnesse,Adopted,Tools and Libraries,FALSE,Fitnesse lo usamos en varias aplicaciones para abstraer la complejidad de entender los datos de los tests. Un muy buen caso de implementación es Loggro,Jose Valle;Juan Esteban Lopez,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Fitnesse+-+Desarrollo+de+competencias,,,Jose Valle<BR/>Juan Esteban Lopez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Jose Valle<BR/>Juan Esteban Lopez,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Fitnesse+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Fitnesse lo usamos en varias aplicaciones para abstraer la complejidad de entender los datos de los tests. Un muy buen caso de implementación es Loggro<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Jose Valle<BR/>Juan Esteban Lopez<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Fitnesse+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Postman,Adopted,Tools and Libraries,FALSE,Utilizamos Postman para API testing en varios proyectos de la empresa.,Juan Pablo Casas;Juan Esteban Torres,,,,Juan Pablo Casas<BR/>Juan Esteban Torres,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Juan Pablo Casas<BR/>Juan Esteban Torres,,,Utilizamos Postman para API testing en varios proyectos de la empresa.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Juan Pablo Casas<BR/>Juan Esteban Torres
Protractor,Adopted,Tools and Libraries,FALSE,Utilizamos Protractor como un framework de pruebas de UI especialmente para aplicaciones desarrolladas con AngularJS,Dilson Alzate;Alejandro Perdomo,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Protractor+-+Desarrollo+de+competencias,,,Dilson Alzate<BR/>Alejandro Perdomo,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Dilson Alzate<BR/>Alejandro Perdomo,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Protractor+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Utilizamos Protractor como un framework de pruebas de UI especialmente para aplicaciones desarrolladas con AngularJS<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Dilson Alzate<BR/>Alejandro Perdomo<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Protractor+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Selenium,Adopted,Tools and Libraries,FALSE,Tenemos muchos proyectos implementados con Selenium. Combinado con varios patrones de diseño hemos implementado pruebas de UI con Selenium en proyectos muy grandes.,Daniel Martinez;Daniela Mancilla;Dilson Alzate,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Selenium+-+Desarrollo+de+competencias,,,Daniel Martinez<BR/>Daniela Mancilla<BR/>Dilson Alzate,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Martinez<BR/>Daniela Mancilla<BR/>Dilson Alzate,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Selenium+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Tenemos muchos proyectos implementados con Selenium. Combinado con varios patrones de diseño hemos implementado pruebas de UI con Selenium en proyectos muy grandes.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Martinez<BR/>Daniela Mancilla<BR/>Dilson Alzate<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Selenium+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Sahi,Adopted,Tools and Libraries,FALSE,Sahi es una alternativa a Selenium usada en varios proyectos.,David Vásquez;Juan Esteban Lopez,,,,David Vásquez<BR/>Juan Esteban Lopez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Juan Esteban Lopez,,,Sahi es una alternativa a Selenium usada en varios proyectos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vásquez<BR/>Juan Esteban Lopez
Cucumber,Adopted,Tools and Libraries,FALSE,Cucumber  se usa en proyectos que implementan BDD. Permite ejecutar especificaciones en lenguaje Gherkin. Cadreon es un buen ejemplo de implementación.,Tatiana Tamayo;Yelitza Coromoto,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Service+Testing+-+Desarrollo+de+competencias,,,Tatiana Tamayo<BR/>Yelitza Coromoto,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Tatiana Tamayo<BR/>Yelitza Coromoto,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Service+Testing+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Cucumber  se usa en proyectos que implementan BDD. Permite ejecutar especificaciones en lenguaje Gherkin. Cadreon es un buen ejemplo de implementación.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Tatiana Tamayo<BR/>Yelitza Coromoto<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Service+Testing+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Liquibase,Adopted,Tools and Libraries,FALSE,Usamos Liquibase en varios proyectos para sincronizar automáticamente el estado de nuestras bases de datos.,Julian Duque,,,,Julian Duque,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Julian Duque,,,Usamos Liquibase en varios proyectos para sincronizar automáticamente el estado de nuestras bases de datos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Julian Duque
DBUnit,Adopted,Tools and Libraries,FALSE,Usamos DBUnit en varios proyectos para correr test automáticos de base de datos (o de interacción con base de datos),,,,,,,,,Usamos DBUnit en varios proyectos para correr test automáticos de base de datos (o de interacción con base de datos)
JSHint,Adopted,Tools and Libraries,FALSE,JSHint nos permite encontrar y corregir malas prácticas de codificación en Javascript (e integrarlo con CI/CD),Santiago Garcés,,,,Santiago Garcés,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Santiago Garcés,,,JSHint nos permite encontrar y corregir malas prácticas de codificación en Javascript (e integrarlo con CI/CD)<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Santiago Garcés
FindBugs,Adopted,Tools and Libraries,FALSE,FindBugs lo usamos para detectar y corregir malas prácticas de desarrollo y potenciales problemas funcionales o de performance/seguridad,,,,,,,,,FindBugs lo usamos para detectar y corregir malas prácticas de desarrollo y potenciales problemas funcionales o de performance/seguridad
ReSharper,Adopted,Tools and Libraries,FALSE,ReSharper nos permite aprender y mejorar como desarrolladores - es muy usado en desarrollos .Net,John Alzate;Raúl zuluaga,,,,John Alzate<BR/>Raúl zuluaga,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>John Alzate<BR/>Raúl zuluaga,,,ReSharper nos permite aprender y mejorar como desarrolladores - es muy usado en desarrollos .Net<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>John Alzate<BR/>Raúl zuluaga
"Front End Task Runners (Grunt, Gulp,...)",Adopted,Tools and Libraries,FALSE,Usamos comunmente varios task runners para frontend. Algunos ejemplos son Grunt y Gulp,Victor Cataño,,,,Victor Cataño,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño,,,Usamos comunmente varios task runners para frontend. Algunos ejemplos son Grunt y Gulp<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño
Bootstrap,Adopted,Tools and Libraries,FALSE,Usamos Boostrap en muchos proyectos como una forma de crear aplicaciones responsive para aplicaciones web y móvil.,Daniel Ricaurte;Ricardo Osorio;Yosel del Valle;,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Bootstrap+-+Desarrollo+de+competencias,,,Daniel Ricaurte<BR/>Ricardo Osorio<BR/>Yosel del Valle<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Ricaurte<BR/>Ricardo Osorio<BR/>Yosel del Valle<BR/>,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Bootstrap+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Usamos Boostrap en muchos proyectos como una forma de crear aplicaciones responsive para aplicaciones web y móvil.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Ricaurte<BR/>Ricardo Osorio<BR/>Yosel del Valle<BR/><BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Bootstrap+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Jasmine,Adopted,Tools and Libraries,FALSE,Hemos usado Jasmine para implementar BDD en proyectos Javascript,Daniel Martinez;Sergio Velasquez;Melissa Espinal,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias,,,Daniel Martinez<BR/>Sergio Velasquez<BR/>Melissa Espinal,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Martinez<BR/>Sergio Velasquez<BR/>Melissa Espinal,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,Hemos usado Jasmine para implementar BDD en proyectos Javascript<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Daniel Martinez<BR/>Sergio Velasquez<BR/>Melissa Espinal<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Unit+Testing+-+TDD+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Gatling,Trying,Tools and Libraries,FALSE,Usamos Gatling en tres proyectos para crear tests automáticos de performanc.e,Andres Restrepo;Luis Eduardo Blandon;,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Gatling+y+pruebas+de+rendimiento+-+Desarrollo+de+Competencias,,,Andres Restrepo<BR/>Luis Eduardo Blandon<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andres Restrepo<BR/>Luis Eduardo Blandon<BR/>,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Gatling+y+pruebas+de+rendimiento+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Usamos Gatling en tres proyectos para crear tests automáticos de performanc.e<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Andres Restrepo<BR/>Luis Eduardo Blandon<BR/><BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Gatling+y+pruebas+de+rendimiento+-+Desarrollo+de+Competencias' target='_top'>aquí</a>
Acunetix,Trying,Tools and Libraries,FALSE,Usamos Acunetix para encontrar vulnerabilidades de seguridad en varios proyectos de la empresa,Felipe Acosta;Fabrizio Sgura;,,,,Felipe Acosta<BR/>Fabrizio Sgura<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Felipe Acosta<BR/>Fabrizio Sgura<BR/>,,,Usamos Acunetix para encontrar vulnerabilidades de seguridad en varios proyectos de la empresa<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Felipe Acosta<BR/>Fabrizio Sgura<BR/>
Web API,Trying,Tools and Libraries,FALSE,Usamos Web API para algunos proyectos .Net como una forma de implementar fácilmente Restful APIs,https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebApi+-+Desarrollo+de+Competencias,,,,https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebApi+-+Desarrollo+de+Competencias,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebApi+-+Desarrollo+de+Competencias,,,Usamos Web API para algunos proyectos .Net como una forma de implementar fácilmente Restful APIs<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebApi+-+Desarrollo+de+Competencias
WebPack,Trying,Tools and Libraries,FALSE,Webpack lo usamos como un module bundler para algunos proyectos FrontEnd.,https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebPack+-+Desarrollo+de+Competencias,,,,https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebPack+-+Desarrollo+de+Competencias,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebPack+-+Desarrollo+de+Competencias,,,Webpack lo usamos como un module bundler para algunos proyectos FrontEnd.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>https://mercurio.psl.com.co:9443/confluence/display/SDCD/WebPack+-+Desarrollo+de+Competencias
Angular Material,Trying,Tools and Libraries,FALSE,Usamos Angular Material como un UI Kit para algunos proyectos de la empresa,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+Material+-+Desarrollo+de+Competencias,,,,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+Material+-+Desarrollo+de+Competencias,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+Material+-+Desarrollo+de+Competencias,,,Usamos Angular Material como un UI Kit para algunos proyectos de la empresa<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+Material+-+Desarrollo+de+Competencias
Mocha+Chai,Trying,Tools and Libraries,FALSE,"Usamos Mocha como un test framework alternativo para algunos proyectos, mezclándolo con Chai para assertions.",Victor Cataño,,,,Victor Cataño,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño,,,"Usamos Mocha como un test framework alternativo para algunos proyectos, mezclándolo con Chai para assertions.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño"
Babel,Trying,Tools and Libraries,FALSE,Babel lo estamos usando para compilar Javascript en un par de proyectos,,,,,,,,,Babel lo estamos usando para compilar Javascript en un par de proyectos
Flyway DB,Trying,Tools and Libraries,TRUE,"En algunos proyectos utilizamos Flyway como una alternativa a Liquibase para versionar y mantener control al estado de tu base de datos, y realizar migraciones automáticamente e integrado al servidor de CI/CD",Francisco Gaviria,,,,Francisco Gaviria,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Francisco Gaviria,,,"En algunos proyectos utilizamos Flyway como una alternativa a Liquibase para versionar y mantener control al estado de tu base de datos, y realizar migraciones automáticamente e integrado al servidor de CI/CD<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Francisco Gaviria"
D3js,Trying,Tools and Libraries,FALSE,En varios proyectos usamos D3JS para realizar visualizaciones avanzadas sobre Javascript. HERE es un ejemplo,John de la pava,,,,John de la pava,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>John de la pava,,,En varios proyectos usamos D3JS para realizar visualizaciones avanzadas sobre Javascript. HERE es un ejemplo<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>John de la pava
SpecFlow,Exploring,Tools and Libraries,FALSE,Estamos explorando SpecFlow para implementar BDD en proyectos .Net,,,,,,,,,Estamos explorando SpecFlow para implementar BDD en proyectos .Net
Apache Drill,Exploring,Tools and Libraries,TRUE,Estamos realizando una prueba de concepto con Apache Drill en HERE para ejecutar queries en HDFS (usando una sintaxis similar a SQL),Esteban Hernandez,,,,Esteban Hernandez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Hernandez,,,Estamos realizando una prueba de concepto con Apache Drill en HERE para ejecutar queries en HDFS (usando una sintaxis similar a SQL)<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Esteban Hernandez
HTML5 / JavaScript,Adopted,Languages & Frameworks,FALSE,HTML5 ha sido adoptado en casi todos los proyectos de la compañía. ,Luis David Carreño;David Franco,https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=81265099,,,,,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=81265099' target='_top'>aquí</a>,,HTML5 ha sido adoptado en casi todos los proyectos de la compañía. <BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/pages/viewpage.action?pageId=81265099' target='_top'>aquí</a>